Data,Objeto,Lidos DW,Enviados SFDC,Sucesso,Rejeitados
2022-11-22 08:06:00,CONSULTA, 82646, 2272, 854, 1418
2022-11-22 08:06:00,CONVENIO, 517, 0, 0, 0
2022-11-22 08:06:00,CORPO_CLINICO, 912, 2, 2, 0
2022-11-22 08:06:00,MEDICO_REFERENCIADOR, 10285, 4, 4, 0
2022-11-22 08:06:00,PACIENTE, 40388, 6, 6, 0
2022-11-22 08:06:00,PLANO_CONVENIO, 1733, 9, 9, 0
2022-11-22 08:06:00,UNIDADE, 37, 0, 0, 0
2022-11-21 08:36:00,CONSULTA, 85981, 7679, 6184, 1495
2022-11-21 08:36:00,CONVENIO, 518, 0, 0, 0
2022-11-21 08:36:00,CORPO_CLINICO, 914, 15, 15, 0
2022-11-21 08:36:00,MEDICO_REFERENCIADOR, 10446, 18, 18, 0
2022-11-21 08:36:00,PACIENTE, 41430, 368, 368, 0
2022-11-21 08:36:00,PLANO_CONVENIO, 1746, 11, 11, 0
2022-11-21 08:36:00,UNIDADE, 37, 0, 0, 0
2022-11-19 07:59:00,CONSULTA, 90992, 1722, 128, 1594
2022-11-19 07:59:00,CONVENIO, 525, 0, 0, 0
2022-11-19 07:59:00,CORPO_CLINICO, 916, 1, 1, 0
2022-11-19 07:59:00,MEDICO_REFERENCIADOR, 10774, 27, 27, 0
2022-11-19 07:59:00,PACIENTE, 43057, 0, 0, 0
2022-11-19 07:59:00,PLANO_CONVENIO, 1785, 9, 9, 0
2022-11-19 07:59:00,UNIDADE, 37, 0, 0, 0
2022-11-18 15:08:00,CONSULTA, 95458, 13943, 12263, 1680
2022-11-18 15:08:00,CONVENIO, 526, 0, 0, 0
2022-11-18 15:08:00,CORPO_CLINICO, 918, 27, 27, 0
2022-11-18 15:08:00,MEDICO_REFERENCIADOR, 11070, 62, 62, 0
2022-11-18 15:08:00,PACIENTE, 44421, 0, 0, 0
2022-11-18 15:08:00,PLANO_CONVENIO, 1811, 9, 9, 0
2022-11-18 15:08:00,UNIDADE, 37, 0, 0, 0
2022-11-17 08:24:00,CONSULTA, 91026, 3814, 2232, 1582
2022-11-17 08:24:00,CONVENIO, 523, 0, 0, 0
2022-11-17 08:24:00,CORPO_CLINICO, 917, 2, 2, 0
2022-11-17 08:24:00,MEDICO_REFERENCIADOR, 10882, 13, 13, 0
2022-11-17 08:24:00,PACIENTE, 43189, 37, 37, 0
2022-11-17 08:24:00,PLANO_CONVENIO, 1801, 9, 9, 0
2022-11-17 08:24:00,UNIDADE, 37, 0, 0, 0
2022-11-16 08:24:00,CONSULTA, 90469, 7164, 5581, 1583
2022-11-16 08:24:00,CONVENIO, 522, 0, 0, 0
2022-11-16 08:24:00,CORPO_CLINICO, 917, 19, 19, 0
2022-11-16 08:24:00,MEDICO_REFERENCIADOR, 10857, 15, 15, 0
2022-11-16 08:24:00,PACIENTE, 43120, 633, 633, 0
2022-11-16 08:24:00,PLANO_CONVENIO, 1798, 13, 13, 0
2022-11-16 08:24:00,UNIDADE, 37, 0, 0, 0
2022-11-15 08:18:00,CONSULTA, 86773, 2169, 634, 1535
2022-11-15 08:18:00,CONVENIO, 523, 0, 0, 0
2022-11-15 08:18:00,CORPO_CLINICO, 914, 1, 1, 0
2022-11-15 08:18:00,MEDICO_REFERENCIADOR, 10682, 0, 0, 0
2022-11-15 08:18:00,PACIENTE, 42201, 1, 1, 0
2022-11-15 08:18:00,PLANO_CONVENIO, 1776, 8, 8, 0
2022-11-15 08:18:00,UNIDADE, 37, 0, 0, 0
2022-11-14 08:20:00,CONSULTA, 90319, 22011, 20384, 1627
2022-11-14 08:20:00,CONVENIO, 525, 0, 0, 0
2022-11-14 08:20:00,CORPO_CLINICO, 919, 4, 4, 0
2022-11-14 08:20:00,MEDICO_REFERENCIADOR, 10833, 2, 2, 0
2022-11-14 08:20:00,PACIENTE, 43091, 16, 16, 0
2022-11-14 08:20:00,PLANO_CONVENIO, 1794, 10, 10, 0
2022-11-14 08:20:00,UNIDADE, 37, 0, 0, 0
2022-11-13 08:24:00,CONSULTA, 94567, 23955, 22246, 1709
2022-11-13 08:24:00,CONVENIO, 528, 0, 0, 0
2022-11-13 08:24:00,CORPO_CLINICO, 929, 2, 2, 0
2022-11-13 08:24:00,MEDICO_REFERENCIADOR, 8291, 38, 38, 0
2022-11-13 08:24:00,PACIENTE, 44102, 141, 141, 0
2022-11-13 08:24:00,PLANO_CONVENIO, 1804, 9, 9, 0
2022-11-13 08:24:00,UNIDADE, 37, 0, 0, 0
2022-11-12 08:11:00,CONSULTA, 94292, 14410, 12728, 1682
2022-11-12 08:11:00,CONVENIO, 527, 1, 1, 0
2022-11-12 08:11:00,CORPO_CLINICO, 929, 16, 16, 0
2022-11-12 08:11:00,MEDICO_REFERENCIADOR, 11023, 61, 61, 0
2022-11-12 08:11:00,PACIENTE, 44022, 1646, 1646, 0
2022-11-12 08:11:00,PLANO_CONVENIO, 1802, 11, 11, 0
2022-11-12 08:11:00,UNIDADE, 37, 0, 0, 0
2022-11-11 08:02:00,CONSULTA, 91423, 1961, 442, 1519
2022-11-11 08:02:00,CONVENIO, 522, 0, 0, 0
2022-11-11 08:02:00,CORPO_CLINICO, 923, 7, 7, 0
2022-11-11 08:02:00,MEDICO_REFERENCIADOR, 10825, 16, 16, 0
2022-11-11 08:02:00,PACIENTE, 42871, 6, 6, 0
2022-11-11 08:02:00,PLANO_CONVENIO, 1766, 9, 9, 0
2022-11-11 08:02:00,UNIDADE, 37, 0, 0, 0
2022-11-10 08:22:00,CONSULTA, 95350, 7454, 5876, 1578
2022-11-10 08:22:00,CONVENIO, 524, 0, 0, 0
2022-11-10 08:22:00,CORPO_CLINICO, 930, 45, 45, 0
2022-11-10 08:22:00,MEDICO_REFERENCIADOR, 11028, 43, 43, 0
2022-11-10 08:22:00,PACIENTE, 44034, 837, 837, 0
2022-11-10 08:22:00,PLANO_CONVENIO, 1786, 12, 12, 0
2022-11-10 08:22:00,UNIDADE, 37, 0, 0, 0
2022-11-09 12:37:00,CONSULTA, 90620, 9339, 7839, 1500
2022-11-09 12:37:00,CONVENIO, 521, 2, 2, 0
2022-11-09 12:37:00,CORPO_CLINICO, 920, 54, 54, 0
2022-11-09 12:37:00,MEDICO_REFERENCIADOR, 10765, 43, 43, 0
2022-11-09 12:37:00,PACIENTE, 42629, 991, 991, 0
2022-11-09 12:37:00,PLANO_CONVENIO, 1764, 13, 13, 0
2022-11-09 12:37:00,UNIDADE, 36, 0, 0, 0
2022-11-08 08:15:00,CONSULTA, 85934, 15422, 13987, 1435
2022-11-08 08:15:00,CONVENIO, 518, 0, 0, 0
2022-11-08 08:15:00,CORPO_CLINICO, 916, 12, 12, 0
2022-11-08 08:15:00,MEDICO_REFERENCIADOR, 10497, 29, 29, 0
2022-11-08 08:15:00,PACIENTE, 41172, 1004, 1004, 0
2022-11-08 08:15:00,PLANO_CONVENIO, 1738, 12, 12, 0
2022-11-08 08:15:00,UNIDADE, 36, 0, 0, 0
2022-11-07 08:08:00,CONSULTA, 85242, 10554, 9158, 1396
2022-11-07 08:08:00,CONVENIO, 514, 0, 0, 0
2022-11-07 08:08:00,CORPO_CLINICO, 915, 3, 3, 0
2022-11-07 08:08:00,MEDICO_REFERENCIADOR, 10422, 1, 1, 0
2022-11-07 08:08:00,PACIENTE, 40731, 12, 12, 0
2022-11-07 08:08:00,PLANO_CONVENIO, 1728, 9, 9, 0
2022-11-07 08:08:00,UNIDADE, 36, 0, 0, 0
2022-11-06 08:09:00,CONSULTA, 88648, 3523, 2052, 1471
2022-11-06 08:09:00,CONVENIO, 514, 0, 0, 0
2022-11-06 08:09:00,CORPO_CLINICO, 921, 5, 5, 0
2022-11-06 08:09:00,MEDICO_REFERENCIADOR, 10649, 12, 12, 0
2022-11-06 08:09:00,PACIENTE, 41769, 33, 33, 0
2022-11-06 08:09:00,PLANO_CONVENIO, 1744, 9, 9, 0
2022-11-06 08:09:00,UNIDADE, 36, 0, 0, 0
2022-11-05 08:24:00,CONSULTA, 92872, 15659, 14076, 1583
2022-11-05 08:24:00,CONVENIO, 520, 0, 0, 0
2022-11-05 08:24:00,CORPO_CLINICO, 929, 27, 27, 0
2022-11-05 08:24:00,MEDICO_REFERENCIADOR, 10925, 51, 51, 0
2022-11-05 08:24:00,PACIENTE, 43065, 754, 754, 0
2022-11-05 08:24:00,PLANO_CONVENIO, 1770, 10, 10, 0
2022-11-05 08:24:00,UNIDADE, 36, 0, 0, 0
2022-11-04 08:29:00,CONSULTA, 94255, 7866, 6313, 1553
2022-11-04 08:29:00,CONVENIO, 519, 1, 1, 0
2022-11-04 08:29:00,CORPO_CLINICO, 931, 40, 40, 0
2022-11-04 08:29:00,MEDICO_REFERENCIADOR, 8210, 55, 55, 0
2022-11-04 08:29:00,PACIENTE, 43390, 674, 674, 0
2022-11-04 08:29:00,PLANO_CONVENIO, 1771, 15, 15, 0
2022-11-04 08:29:00,UNIDADE, 36, 0, 0, 0
2022-11-03 08:28:00,CONSULTA, 94310, 18446, 16835, 1611
2022-11-03 08:28:00,CONVENIO, 519, 0, 0, 0
2022-11-03 08:28:00,CORPO_CLINICO, 929, 22, 22, 0
2022-11-03 08:28:00,MEDICO_REFERENCIADOR, 11050, 56, 56, 0
2022-11-03 08:28:00,PACIENTE, 43635, 1188, 1188, 0
2022-11-03 08:28:00,PLANO_CONVENIO, 1783, 11, 11, 0
2022-11-03 08:28:00,UNIDADE, 36, 0, 0, 0
2022-11-02 08:04:00,CONSULTA, 89394, 1701, 166, 1535
2022-11-02 08:04:00,CONVENIO, 519, 0, 0, 0
2022-11-02 08:04:00,CORPO_CLINICO, 927, 154, 154, 0
2022-11-02 08:04:00,MEDICO_REFERENCIADOR, 10771, 0, 0, 0
2022-11-02 08:04:00,PACIENTE, 42211, 2, 2, 0
2022-11-02 08:04:00,PLANO_CONVENIO, 1760, 9, 9, 0
2022-11-02 08:04:00,UNIDADE, 36, 0, 0, 0
2022-11-01 08:26:00,CONSULTA, 89417, 8691, 7144, 1547
