Data,Objeto,Lidos DW,Enviados SFDC,Sucesso,Rejeitados
2022-10-31 08:26:00,CONSULTA, 88975, 3771, 2213, 1558
2022-10-31 08:26:00,CONVENIO, 521, 0, 0, 0
2022-10-31 08:26:00,CORPO_CLINICO, 927, 7, 7, 0
2022-10-31 08:26:00,MEDICO_REFERENCIADOR, 10789, 1, 1, 0
2022-10-31 08:26:00,PACIENTE, 42103, 24, 24, 0
2022-10-31 08:26:00,PLANO_CONVENIO, 1751, 8, 8, 0
2022-10-31 08:26:00,UNIDADE, 36, 0, 0, 0
2022-10-30 08:18:00,CONSULTA, 93337, 4782, 3146, 1636
2022-10-30 08:18:00,CONVENIO, 523, 0, 0, 0
2022-10-30 08:18:00,CORPO_CLINICO, 933, 10, 10, 0
2022-10-30 08:18:00,MEDICO_REFERENCIADOR, 11044, 17, 17, 0
2022-10-30 08:18:00,PACIENTE, 43369, 106, 106, 0
2022-10-30 08:18:00,PLANO_CONVENIO, 1770, 8, 8, 0
2022-10-30 08:18:00,UNIDADE, 36, 0, 0, 0
2022-10-29 08:18:00,CONSULTA, 99372, 11627, 9837, 1790
2022-10-29 08:18:00,CONVENIO, 530, 2, 2, 0
2022-10-29 08:18:00,CORPO_CLINICO, 949, 36, 36, 0
2022-10-29 08:18:00,MEDICO_REFERENCIADOR, 11300, 40, 40, 0
2022-10-29 08:18:00,PACIENTE, 44640, 1005, 1005, 0
2022-10-29 08:18:00,PLANO_CONVENIO, 1796, 18, 18, 0
2022-10-29 08:18:00,UNIDADE, 38, 0, 0, 0
2022-10-28 08:14:00,CONSULTA, 96606, 8212, 6533, 1679
2022-10-28 08:14:00,CONVENIO, 529, 0, 0, 0
2022-10-28 08:14:00,CORPO_CLINICO, 949, 12, 12, 0
2022-10-28 08:14:00,MEDICO_REFERENCIADOR, 11295, 46, 46, 0
2022-10-28 08:14:00,PACIENTE, 44529, 442, 442, 0
2022-10-28 08:14:00,PLANO_CONVENIO, 1793, 11, 11, 0
2022-10-28 08:14:00,UNIDADE, 38, 0, 0, 0
2022-10-27 08:02:00,CONSULTA, 90708, 1870, 268, 1602
2022-10-27 08:02:00,CONVENIO, 528, 0, 0, 0
2022-10-27 08:02:00,CORPO_CLINICO, 946, 0, 0, 0
2022-10-27 08:02:00,MEDICO_REFERENCIADOR, 11039, 0, 0, 0
2022-10-27 08:02:00,PACIENTE, 42920, 4, 4, 0
2022-10-27 08:02:00,PLANO_CONVENIO, 1764, 4, 4, 0
2022-10-27 08:02:00,UNIDADE, 38, 0, 0, 0
2022-10-26 08:41:00,CONSULTA, 90619, 2104, 494, 1610
2022-10-26 08:41:00,CONVENIO, 528, 0, 0, 0
2022-10-26 08:41:00,CORPO_CLINICO, 945, 3, 3, 0
2022-10-26 08:41:00,MEDICO_REFERENCIADOR, 11039, 21, 21, 0
2022-10-26 08:41:00,PACIENTE, 42916, 9, 9, 0
2022-10-26 08:41:00,PLANO_CONVENIO, 1764, 4, 4, 0
2022-10-26 08:41:00,UNIDADE, 38, 0, 0, 0
2022-10-25 08:19:00,CONSULTA, 90356, 26827, 25212, 1615
2022-10-25 08:19:00,CONVENIO, 528, 0, 0, 0
2022-10-25 08:19:00,CORPO_CLINICO, 945, 25, 25, 0
2022-10-25 08:19:00,MEDICO_REFERENCIADOR, 11037, 43, 43, 0
2022-10-25 08:19:00,PACIENTE, 42900, 980, 980, 0
2022-10-25 08:19:00,PLANO_CONVENIO, 1763, 9, 9, 0
2022-10-25 08:19:00,UNIDADE, 38, 0, 0, 0
2022-10-24 08:32:00,CONSULTA, 89156, 22379, 20771, 1608
2022-10-24 08:32:00,CONVENIO, 526, 0, 0, 0
2022-10-24 08:32:00,CORPO_CLINICO, 949, 7, 7, 0
2022-10-24 08:32:00,MEDICO_REFERENCIADOR, 8116, 1, 1, 0
2022-10-24 08:32:00,PACIENTE, 42328, 14, 14, 0
2022-10-24 08:32:00,PLANO_CONVENIO, 1740, 4, 4, 0
2022-10-24 08:32:00,UNIDADE, 38, 0, 0, 0
2022-10-23 08:09:00,CONSULTA, 91484, 10821, 9200, 1621
2022-10-23 08:09:00,CONVENIO, 533, 0, 0, 0
2022-10-23 08:09:00,CORPO_CLINICO, 955, 4, 4, 0
2022-10-23 08:09:00,MEDICO_REFERENCIADOR, 11043, 46, 46, 0
2022-10-23 08:09:00,PACIENTE, 43003, 18, 18, 0
2022-10-23 08:09:00,PLANO_CONVENIO, 1758, 4, 4, 0
2022-10-23 08:09:00,UNIDADE, 38, 0, 0, 0
2022-10-22 08:05:00,CONSULTA, 95970, 21215, 19519, 1696
2022-10-22 08:05:00,CONVENIO, 535, 1, 1, 0
2022-10-22 08:05:00,CORPO_CLINICO, 961, 28, 28, 0
2022-10-22 08:05:00,MEDICO_REFERENCIADOR, 8432, 70, 70, 0
2022-10-22 08:05:00,PACIENTE, 44364, 1605, 1605, 0
2022-10-22 08:05:00,PLANO_CONVENIO, 1793, 10, 10, 0
2022-10-22 08:05:00,UNIDADE, 38, 0, 0, 0
2022-10-21 08:13:00,CONSULTA, 93395, 2110, 523, 1587
2022-10-21 08:13:00,CONVENIO, 533, 0, 0, 0
2022-10-21 08:13:00,CORPO_CLINICO, 957, 2, 2, 0
2022-10-21 08:13:00,MEDICO_REFERENCIADOR, 11175, 16, 16, 0
2022-10-21 08:13:00,PACIENTE, 43538, 7, 7, 0
2022-10-21 08:13:00,PLANO_CONVENIO, 1774, 4, 4, 0
2022-10-21 08:13:00,UNIDADE, 38, 0, 0, 0
2022-10-20 08:37:00,CONSULTA, 97338, 16854, 15188, 1666
2022-10-20 08:37:00,CONVENIO, 537, 0, 0, 0
2022-10-20 08:37:00,CORPO_CLINICO, 964, 16, 16, 0
2022-10-20 08:37:00,MEDICO_REFERENCIADOR, 11400, 65, 65, 0
2022-10-20 08:37:00,PACIENTE, 44711, 912, 912, 0
2022-10-20 08:37:00,PLANO_CONVENIO, 1797, 8, 8, 0
2022-10-20 08:37:00,UNIDADE, 38, 0, 0, 0
2022-10-19 08:08:00,CONSULTA, 92751, 16589, 15036, 1553
2022-10-19 08:08:00,CONVENIO, 535, 0, 0, 0
2022-10-19 08:08:00,CORPO_CLINICO, 957, 12, 12, 0
2022-10-19 08:08:00,MEDICO_REFERENCIADOR, 11150, 74, 74, 0
2022-10-19 08:08:00,PACIENTE, 43309, 978, 978, 0
2022-10-19 08:08:00,PLANO_CONVENIO, 1773, 9, 9, 0
