Data,Objeto,Lidos Origem,Enviados SFDC,Sucesso,Rejeitados
2022-05-16 09:02:00,Paciente,0,0,0,0
2022-05-16 09:02:00,Solicitacao,1449,15,1,14
2022-05-16 09:02:00,Encaminhamento,107,1,0,1
2022-05-15 09:02:00,Paciente,0,0,0,0
2022-05-15 09:02:00,Encaminhamento,115,1,0,1
2022-05-15 09:02:00,Solicitacao,1526,14,0,14
2022-05-14 09:02:00,Paciente,0,0,0,0
2022-05-14 09:02:00,Encaminhamento,120,6,5,1
2022-05-14 09:02:00,Solicitacao,1583,83,69,14
2022-05-13 09:02:00,Paciente,0,0,0,0
2022-05-13 09:02:00,Encaminhamento,126,11,10,1
2022-05-13 09:02:00,Solicitacao,1735,116,56,60
2022-05-12 09:02:00,Paciente,0,0,0,0
2022-05-12 09:02:00,Encaminhamento,123,12,11,1
2022-05-12 09:02:00,Solicitacao,1829,155,100,55
2022-05-11 09:02:00,Paciente,0,0,0,0
2022-05-11 09:02:00,Encaminhamento,112,8,7,1
2022-05-11 09:02:00,Solicitacao,1729,132,77,55
2022-05-10 09:02:00,Paciente,0,0,0,0
2022-05-10 09:02:00,Encaminhamento,106,7,5,2
2022-05-10 09:02:00,Solicitacao,1611,91,77,14
2022-05-09 09:03:00,Paciente,0,0,0,0
2022-05-09 09:03:00,Encaminhamento,102,2,0,2
2022-05-09 09:03:00,Solicitacao,1574,14,0,14
2022-05-08 09:02:00,Paciente,0,0,0,0
2022-05-08 09:02:00,Solicitacao,1666,14,0,14
2022-05-08 09:02:00,Encaminhamento,108,2,0,2
2022-05-07 09:02:00,Paciente,0,0,0,0
2022-05-07 09:02:00,Encaminhamento,116,8,6,2
2022-05-07 09:02:00,Solicitacao,1733,43,29,14
2022-05-06 09:02:00,Paciente,0,0,0,0
2022-05-06 09:02:00,Encaminhamento,110,8,7,1
2022-05-06 09:02:00,Solicitacao,1811,103,88,15
2022-05-05 09:02:00,Paciente,0,0,0,0
2022-05-05 09:02:00,Encaminhamento,106,8,7,1
2022-05-05 09:02:00,Solicitacao,1964,156,137,19
2022-05-04 09:02:00,Paciente,0,0,0,0
2022-05-04 09:02:00,Encaminhamento,101,3,0,3
2022-05-04 09:02:00,Solicitacao,1917,112,3,109
2022-05-03 09:02:00,Paciente,0,0,0,0
2022-05-03 09:02:00,Encaminhamento,99,9,8,1
2022-05-03 09:02:00,Solicitacao,1820,112,97,15
2022-05-02 09:02:00,Paciente,0,0,0,0
2022-05-02 09:02:00,Encaminhamento,95,1,0,1
2022-05-02 09:02:00,Solicitacao,1769,6,0,6
2022-05-01 09:02:00,Paciente,0,0,0,0
2022-05-01 09:02:00,Solicitacao,1826,6,0,6
2022-05-01 09:02:00,Encaminhamento,99,1,0,1
